Zeit (s),Drehzahl (U/min)
0.0,1722.65625
0.5,1722.65625
1.0,1291.9921875
1.5,1291.9921875
2.0,3014.6484375
2.5,3445.3125
3.0,1722.65625
3.5,2153.3203125
4.0,1722.65625
4.5,1722.65625
5.0,3445.3125
5.5,2153.3203125
6.0,1722.65625
6.5,1722.65625
7.0,2153.3203125
7.5,2153.3203125
8.0,1722.65625
8.5,3014.6484375
9.0,2583.984375
9.5,2153.3203125
10.0,1722.65625
10.5,3014.6484375
11.0,2583.984375
11.5,2153.3203125
12.0,1722.65625
12.5,1291.9921875
13.0,2153.3203125
13.5,2153.3203125
14.0,1722.65625
14.5,1291.9921875
15.0,2153.3203125
15.5,2153.3203125
16.0,1722.65625
16.5,3014.6484375
17.0,3445.3125
17.5,2583.984375
18.0,2153.3203125
18.5,1722.65625
19.0,1722.65625
19.5,1291.9921875
20.0,1291.9921875
20.5,3445.3125
21.0,1722.65625
21.5,3445.3125
22.0,2583.984375
22.5,2153.3203125
23.0,3875.9765625
23.5,2583.984375
24.0,2153.3203125
24.5,1722.65625
25.0,2583.984375
25.5,2153.3203125
26.0,1722.65625
26.5,3445.3125
27.0,2583.984375
27.5,2153.3203125
28.0,1722.65625
28.5,3445.3125
29.0,2583.984375
29.5,2153.3203125
30.0,2153.3203125
30.5,1722.65625
